symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
REBN,under120,20260724T1440Z,morning,1.05,-0.1463414634146341,True,1-3,True,2026-07-24T15:00:00Z,1.13,
NVEC,under120,20260724T1440Z,morning,115.98,-0.13583190522315777,False,10-120,False,,119.43,1.0096
MGNX,under120,20260724T1440Z,morning,3.515,-0.1234413965087281,True,3-10,True,2026-07-24T14:55:00Z,3.7099,
BNRG,under120,20260724T1440Z,morning,0.686,-0.12220089571337162,True,<1,True,2026-07-24T14:40:00Z,0.7241,
INLF,under120,20260724T1440Z,morning,3.33,-0.11199999999999997,True,3-10,True,2026-07-24T15:25:00Z,3.57,
XHLD,under120,20260724T1440Z,morning,1.86,-0.11004784688995205,True,1-3,False,,1.9,1.0
BXBL,under120,20260724T1440Z,morning,4.8257,-0.10635185185185185,True,3-10,True,2026-07-24T16:10:00Z,5.07,
HIHO,under120,20260724T1440Z,morning,1.18,-0.10606060606060615,True,1-3,False,,1.1999,0.9917
AEHR,under120,20260724T1440Z,morning,79.28,-0.10428200203366855,False,10-120,False,,81.8,1.0115
EGG,under120,20260724T1440Z,morning,5.745,-0.10234375000000004,True,3-10,True,2026-07-24T14:55:00Z,6.19,
HDRN,under120,20260724T1440Z,morning,1.79,-0.10050251256281405,True,1-3,False,,1.79,0.9781
AAOI,under120,20260724T1440Z,morning,100.8,-0.10016068559185859,False,10-120,False,,105.22,1.0204
BW,under120,20260724T1440Z,morning,9.945,-0.09673024523160759,False,3-10,False,,10.33,1.0177
YYGH,under120,20260724T1440Z,morning,1.1563,-0.09664062499999994,False,1-3,True,2026-07-24T17:15:00Z,1.2402,
CRMT,under120,20260724T1440Z,morning,3.29,-0.09615384615384617,False,3-10,False,,3.38,1.006
VCIG,under120,20260724T1440Z,morning,0.58,-0.09600997506234413,False,<1,False,,0.5874,0.9922
HIMS,under120,20260724T1440Z,morning,29.64,-0.09468540012217475,False,10-120,False,,30.05,0.9937
MI,under120,20260724T1440Z,morning,8.7,-0.09327774882751447,False,3-10,True,2026-07-24T19:55:00Z,9.34,
CHGA,under120,20260724T1440Z,morning,0.2267,-0.0924739791833466,False,<1,True,2026-07-24T16:10:00Z,0.239,
ENHA,under120,20260724T1440Z,morning,3.05,-0.09226190476190478,False,3-10,False,,3.09,0.9904
ALGS,under120,20260724T1440Z,morning,4.26,-0.09168443496801718,False,3-10,False,,4.39,1.0092
MRAM,under120,20260724T1440Z,morning,15.1007,-0.09031927710843382,False,10-120,False,,15.61,1.013
ALMU,under120,20260724T1440Z,morning,14.515,-0.08996865203761747,False,10-120,False,,14.8095,1.0
BUUU,under120,20260724T1440Z,morning,20,-0.08966772872098311,False,10-120,True,2026-07-24T15:05:00Z,21.0,
SLMT,under120,20260724T1440Z,morning,4.155,-0.08881578947368408,False,3-10,False,,4.27,1.0071
AXTI,under120,20260724T1440Z,morning,48.295,-0.0875684866805214,False,10-120,False,,50.38,1.0203
NKLR,under120,20260724T1440Z,morning,4.9472,-0.08723247232472331,False,3-10,True,2026-07-24T19:50:00Z,5.145,
TE,under120,20260724T1440Z,morning,5.19,-0.0862676056338027,False,3-10,False,,5.31,1.0019
UMC,under120,20260724T1440Z,morning,19.11,-0.0843315764254912,False,10-120,True,2026-07-24T19:55:00Z,19.6,
KULR,under120,20260724T1440Z,morning,2.5371,-0.08407942238267144,False,1-3,False,,2.5681,0.9915
ABTC,under120,20260724T1440Z,morning,5.6,-0.0819672131147541,False,3-10,False,,5.8621,1.0195
GLND,under120,20260724T1440Z,morning,2.0199,-0.08186363636363653,False,1-3,False,,2.06,0.9952
UMAC,under120,20260724T1440Z,morning,19.78,-0.08085501858736052,False,10-120,False,,20.68,1.0202
WOLF,under120,20260724T1440Z,morning,23.87,-0.08050847457627118,False,10-120,False,,24.3395,0.9996
ELOG,under120,20260724T1440Z,morning,0.8,-0.08045977011494247,False,<1,True,2026-07-24T18:20:00Z,0.85,
ELPW,under120,20260724T1440Z,morning,0.2101,-0.08012259194395789,False,<1,False,,0.2111,0.9819
NVTS,under120,20260724T1440Z,morning,11.0751,-0.07937655860349116,False,10-120,False,,11.355,1.0049
OUST,under120,20260724T1440Z,morning,34.7,-0.07933138763597758,False,10-120,False,,36.2901,1.0202
AMBQ,under120,20260724T1440Z,morning,68.8725,-0.07887521733315493,False,10-120,True,2026-07-24T19:55:00Z,71.075,
